"Date";"Title";"Comment";"Main category";"Subcategory";"Account";"Amount"
"8/1/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"100.000"
"8/1/2019";"Coin transfer";"";"Home";"";"Cash Money";"-3.600"
"8/1/2019";"Coin transfer";"";"Home";"";"Coin Vault";"3.600"
"8/1/2019";"Dinner";"";"Home";"Food";"Cash Money";"-11.000"
"8/2/2019";"Lunch";"";"Home";"Food";"Cash Money";"-17.000"
"8/2/2019";"Coin transfer";"";"Home";"";"Cash Money";"-3.000"
"8/2/2019";"Coin transfer";"";"Home";"";"Coin Vault";"3.000"
"8/2/2019";"Dinner";"";"Home";"Food";"Cash Money";"-26.000"
"8/3/2019";"Electricity";"";"Home";"";"Bank Mandiri";"-22.000"
"8/3/2019";"Snack";"";"Home";"Food";"Cash Money";"-49.800"
"8/3/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"8/3/2019";"Coin transfer";"";"Home";"";"Cash Money";"-200"
"8/3/2019";"Coin transfer";"";"Home";"";"Coin Vault";"200"
"8/4/2019";"Dinner";"";"Home";"Food";"Cash Money";"-24.000"
"8/5/2019";"Lunch";"";"Home";"Food";"Cash Money";"-10.000"
"8/5/2019";"Dinner";"";"Home";"Food";"Cash Money";"-28.000"
"8/6/2019";"Lunch";"";"Home";"Food";"Cash Money";"-10.000"
"8/6/2019";"Dinner";"";"Home";"Food";"Cash Money";"-10.000"
"8/6/2019";"Snack";"include drink";"Home";"Food";"Cash Money";"-22.200"
"8/6/2019";"Coin transfer";"";"Home";"";"Cash Money";"-800"
"8/6/2019";"Coin transfer";"";"Home";"";"Coin Vault";"800"
"8/6/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"8/6/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"8/7/2019";"Snack";"";"Home";"Food";"Cash Money";"-30.800"
"8/7/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"8/7/2019";"Gasoline";"";"Motorbike";"";"Cash Money";"-60.000"
"8/8/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"8/8/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"8/14/2019";"Drinks";"include facial soap";"Home";"Food";"Cash Money";"-40.000"
"8/15/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"8/15/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"8/19/2019";"Tie";"";"Not assigned";"";"Bank Mandiri";"-32.900"
"8/19/2019";"Coin transfer";"";"Home";"";"Cash Money";"-100"
"8/19/2019";"Coin transfer";"";"Home";"";"Coin Vault";"100"
"8/21/2019";"Dinner";"";"Home";"Food";"Cash Money";"-27.000"
"8/21/2019";"Movies";"Weathering with you";"Sports & Recreation";"Cinema";"Bank Mandiri";"-40.000"
"8/22/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"8/22/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"8/22/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-150.000"
"8/22/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"150.000"
"8/22/2019";"Dinner";"Including snacks.";"Home";"Food";"Cash Money";"-25.000"
"8/22/2019";"Parking Fee";"";"Office & Work";"";"Cash Money";"-4.500"
"8/26/2019";"Movies";"Weathering with you";"Sports & Recreation";"Cinema";"Bank Mandiri";"-40.000"
"8/26/2019";"Income";"";"Income";"Income";"Bank Mandiri";"1.700.000"
"8/26/2019";"Drinks";"include snack";"Home";"Food";"Cash Money";"-20.000"
"8/26/2019";"Washing it";"";"Motorbike";"";"Cash Money";"-24.000"
"8/26/2019";"Folder";"";"Stationary";"";"Cash Money";"-32.800"
"8/26/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.700"
"8/26/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.700"
"8/26/2019";"Income";"";"Income";"Income";"Cash Money";"125.000"
"8/26/2019";"Lunch";"";"Home";"Food";"Cash Money";"-15.000"
"8/26/2019";"Parking Fee";"";"Office & Work";"";"Cash Money";"-1.500"
"8/26/2019";"Dinner";"Including snacks.";"Home";"Food";"Cash Money";"-19.000"
"8/27/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-200.000"
"8/27/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"200.000"
"8/27/2019";"Snack";"";"Home";"Food";"Cash Money";"-81.400"
"8/27/2019";"Drinks";"";"Home";"Food";"Cash Money";"-9.000"
"8/27/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"8/27/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"8/27/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"8/28/2019";"Dinner";"";"Home";"Food";"Cash Money";"-28.000"
"8/29/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"8/29/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"8/29/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"8/30/2019";"Internet";"";"Home";"";"Bank Mandiri";"-100.000"
"8/30/2019";"Snack";"include drink";"Home";"Food";"Cash Money";"-8.000"
"8/30/2019";"Drinks";"include snack";"Home";"Food";"Cash Money";"-32.700"
"8/30/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.300"
"8/30/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.300"
"8/30/2019";"Dinner";"include drink";"Home";"Food";"Cash Money";"-20.000"
"8/30/2019";"JLPT N5 Registration";"";"Expenses";"Education";"Bank Mandiri";"-124.000"
"8/30/2019";"Books";"";"Office & Work";"Specialized books";"Cash Money";"-105.000"
"8/30/2019";"Parking Fee";"";"Office & Work";"";"Cash Money";"-2.000"
